Username,Contact number,Cutoff,Rank,Preference 1,Preference 2,Preference 3,Allotted course
Siddharth Patel,9824915277,196.50,1,EEE,CIVIL,ECE,EEE
Farhan Khan,9730013083,198.00,2,IT,CSE,CIVIL,IT
Divya Singh,9001513406,197.00,3,ECE,CIVIL,MECH,MECH
Dev Arya,9223109963,196.50,4,IT,CSE,MTECH,IT
Utkarsh Singh,9020058364,188.00,5,CSE,ECE,CIVIL,CSE
Ayush Patel,9163420018,195.00,6,IT,BME,MTECH,IT
Nikita Singh,9208726932,189.00,7,MECH,CSE,CIVIL,MECH
Parth Sharma,9544561079,192.50,8,BME,CHEMICAL,MTECH,BME
Vani Gupta,9839355472,195.00,9,CIVIL,MTECH,EEE,CIVIL
Neil Gupta,9877381007,193.00,10,EEE,CHEMICAL,MECH,EEE
Varun Patel,9808861042,186.50,11,ECE,MTECH,CHEMICAL,ECE
Arjun Sharma,9074040206,190.50,12,EEE,IT,CIVIL,EEE
Raj Sharma,9263489757,182.50,13,CHEMICAL,BME,MECH,CHEMICAL
Yashvi Patel,9794587691,186.00,14,CSE,MECH,MTECH,CSE
Uday Singh,9718345043,190.00,15,CIVIL,MECH,IT,CIVIL
Vedant Sharma,9757215458,182.00,16,CHEMICAL,ECE,CSE,CHEMICAL
Devika Gupta,9072922164,189.50,17,MECH,ECE,EEE,MECH
Aarush Gupta,9539867984,173.50,18,CHEMICAL,IT,MTECH,CHEMICAL
Aanya Verma,9934477369,188.00,19,MTECH,MECH,CHEMICAL,MTECH
Akshara Shah,9324106092,188.00,20,MECH,CIVIL,MTECH,MECH
Anvi Patel,9548015830,187.00,21,CHEMICAL,ECE,EEE,CHEMICAL
Nandini Patel,9978840748,173.00,22,CHEMICAL,MECH,ECE,CHEMICAL
Darshana Patel,9560172594,175.50,23,CIVIL,EEE,ECE,CIVIL
Akhil Sharma,9839292710,175.00,24,EEE,BME,IT,EEE
Gayatri Gupta,9723979059,177.50,25,IT,CIVIL,ECE,IT
Rhea Patel,9753799214,165.00,26,IT,ECE,MECH,IT
Jai Kumar,9096923185,170.50,27,EEE,ECE,MECH,EEE
Aanya Patel,9415927594,174.00,28,MTECH,IT,MECH,MTECH
Veda Sharma,9539920318,174.00,29,IT,CIVIL,CSE,IT
Esha Gupta,9999925730,166.50,30,BME,CSE,IT,BME
Prisha Singh,9921778153,166.50,31,MTECH,CIVIL,CSE,MTECH
Eesha Patel,9133308450,166.50,32,CIVIL,CHEMICAL,CSE,CIVIL
Tarun Sharma,9400288933,164.50,33,CSE,ECE,MECH,CSE
Rahul Singh,9181860674,167.50,34,CSE,MTECH,CHEMICAL,CSE
Aman Patel,9891722132,167.50,35,CSE,EEE,IT,CSE
Ayaan Joshi,9317353096,167.00,36,CHEMICAL,MTECH,CSE,CHEMICAL
Surya Sharma,9141719481,152.50,37,MTECH,CIVIL,CHEMICAL,MTECH
Yash Patel,9082489565,155.50,38,BME,MECH,MTECH,BME
Akash Kumar,9105603213,149.50,39,MTECH,CIVIL,IT,MTECH
Pooja Patel,9655741509,146.00,40,CHEMICAL,CIVIL,MECH,CHEMICAL
Nakul Sharma,9990151786,149.00,41,BME,IT,EEE,BME
Krish Mehra,9824977419,151.50,42,MTECH,BME,ECE,MTECH
Mira Patel,9731068249,151.50,43,BME,MTECH,ECE,BME
Tanvi Patel,9194422495,151.00,44,EEE,MTECH,CSE,EEE
Urvashi Gupta,9420602958,147.50,45,EEE,BME,MECH,EEE
Lakshay Singh,9128852571,150.00,46,CIVIL,MTECH,CHEMICAL,CIVIL
Mohit Sharma,9632871034,149.50,47,MECH,CHEMICAL,EEE,MECH
Aniket Singh,9851086087,149.50,48,EEE,CSE,IT,EEE
Bhavya Jain,9781856258,149.50,49,ECE,MTECH,CIVIL,ECE
Ananya Mishra,9305756555,148.00,50,MECH,MTECH,CHEMICAL,MECH
Aarohi Sing,9072746336,148.00,51,ECE,CHEMICAL,IT,ECE
Amrita Gupta,9364845782,135.50,52,ECE,MECH,CSE,ECE
Shreya Gupta,9979999716,140.00,53,MECH,IT,CSE,MECH
Alisha Singh,9930720110,135.00,54,ECE,CSE,MECH,ECE
Lavanya Sharma,9078405321,132.00,55,IT,MTECH,MECH,IT
Siya Singh,9787876510,137.50,56,CSE,ECE,CHEMICAL,CSE
Aishwarya Patel,9196934036,131.50,57,IT,EEE,CHEMICAL,IT
Sameer Singh,9569984624,128.50,58,BME,MECH,CIVIL,BME
Kabir Patel,9347506185,133.00,59,CHEMICAL,IT,ECE,CHEMICAL
Kriti Gupta,9904532867,130.50,60,MECH,BME,EEE,MECH
Advay Singh,9390974100,129.00,61,MECH,MTECH,EEE,MECH
Sahil Sharma,9312298353,127.50,62,CSE,IT,CIVIL,CSE
Vrinda Singh,9396554882,125.50,63,BME,EEE,MECH,BME
Aditya Gupta,9209661842,117.50,64,CHEMICAL,CSE,BME,CHEMICAL
Avni Singh,9187420216,115.50,65,CHEMICAL,BME,MECH,CHEMICAL
Shaan Kapoor,9042148491,115.50,66,CIVIL,BME,CHEMICAL,CIVIL
Aashi Choudhury,9915555327,113.00,67,IT,MTECH,BME,IT
Zara Gupta,9563923108,113.00,68,CIVIL,IT,ECE,CIVIL
Pranav Gupta,9170386299,114.00,69,EEE,ECE,IT,EEE
Ishaan Verma,9410338682,114.00,70,MECH,MTECH,CSE,MECH
Zoya Singh,9121253597,113.50,71,MECH,EEE,BME,MECH
Kavya Patel,9583000984,111.00,72,MECH,MTECH,CHEMICAL,MECH
Bhuvan Singh,9895487647,110.50,73,ECE,BME,MTECH,ECE
Dhruv Mehta,9162970613,104.50,74,CIVIL,BME,CHEMICAL,CIVIL
Ria Gupta,9251743337,103.50,75,EEE,MTECH,CHEMICAL,EEE
Meera Kumar,9358417777,105.50,76,BME,CIVIL,MECH,BME
Niharika Singh,9186314082,104.50,77,MTECH,MECH,CHEMICAL,MTECH
Vihaan Gupta,9034630227,97.50,78,EEE,CHEMICAL,MECH,EEE
Tanisha Patel,9379865517,89.00,79,ECE,CSE,IT,ECE
Aarav Reddy,9201469924,94.00,80,BME,EEE,CIVIL,BME
Omkar Patel,9416999009,89.00,81,EEE,MECH,CHEMICAL,EEE
Saanvi Patel,9880747778,94.00,82,EEE,CSE,BME,EEE
Ila Patel,9822188912,89.50,83,BME,CSE,ECE,BME
Shivam Patel,9907119533,89.00,84,MECH,MTECH,CSE,MECH
Aarohi Desai,9360817103,89.00,85,EEE,MTECH,ECE,EEE
Ishaan Sharma,9485348554,88.50,86,CHEMICAL,BME,MTECH,CHEMICAL
Sanaya Patel,9620374411,87.50,87,EEE,CIVIL,MTECH,EEE
Aarav Sharma,9301761938,87.50,88,CIVIL,ECE,IT,CIVIL
Gopal Singh,9762621669,87.50,89,ECE,CHEMICAL,CSE,ECE
Shikha Gupta,9779335443,77.50,90,CSE,EEE,BME,CSE
Sneha Singh,9538343567,74.00,91,CIVIL,EEE,IT,CIVIL
Jaya Singh,9024206981,76.00,92,ECE,BME,CSE,ECE
Aarav Khanna,9649858876,75.00,93,CHEMICAL,CSE,IT,CHEMICAL
Chetan Shah,9855431949,73.50,94,MECH,CHEMICAL,CSE,MECH
Rudra Sharma,9812573582,76.50,95,EEE,BME,MTECH,EEE
Gaurav Sharma,9007585031,76.00,96,BME,CIVIL,CSE,BME
Ishita Singh,9854577428,75.00,97,CHEMICAL,EEE,BME,CHEMICAL
Advika Singh,9757415425,74.00,98,MECH,CIVIL,CSE,MECH
Om Patel,9315870417,72.50,99,CIVIL,MTECH,CHEMICAL,CIVIL
Rohan Kumar,9926431493,72.50,100,MTECH,EEE,CHEMICAL,MTECH
