Username,Email,CONTACT NUMBER,Caste,Year,Mark 1,Mark 2,Mark 3,Mark 4,Total,Cutoff,N-Value,Rank
Siddharth Patel,siddharth_patel77@gmail.com,9824915277,ST,2004,99,95,100,90,384,196.50,196.50,1
Farhan Khan,farhan_khan83@gmail.com,9730013083,BC,2005,98,100,100,95,393,198.00,186.12,2
Divya Singh,divya_singh06@gmail.com,9001513406,BC,2004,98,98,100,95,391,197.00,185.18,3
Dev Arya,dev_arya63@gmail.com,9223109963,BC,2005,100,100,93,93,386,196.50,184.71,4
Utkarsh Singh,utkarsh_singh64@gmail.com,9020058364,SC,2004,93,97,93,97,380,188.00,184.24,5
Ayush Patel,ayush_patel18@gmail.com,9163420018,BC,2004,97,100,96,91,384,195.00,183.30,6
Nikita Singh,nikita_singh32@gmail.com,9208726932,MBC,2004,96,94,92,92,374,189.00,181.44,7
Parth Sharma,parth_sharma79@gmail.com,9544561079,BC,2006,96,93,100,97,386,192.50,180.95,8
Vani Gupta,vani_gupta72@gmail.com,9839355472,OC,2006,99,95,97,92,383,195.00,179.40,9
Neil Gupta,neil_gupta07@gmail.com,9877381007,OC,2005,96,97,97,99,389,193.00,177.56,10
Varun Patel,varun_patel42@gmail.com,9808861042,BC,2005,90,96,97,97,380,186.50,175.31,11
Arjun Sharma,arjun_sharma06@gmail.com,9074040206,OC,2005,95,94,97,97,383,190.50,175.26,12
Raj Sharma,raj_sharma57@gmail.com,9263489757,MBC,2006,92,90,91,91,364,182.50,175.20,13
Yashvi Patel,yashvi_patel91@gmail.com,9794587691,BC,2004,91,90,100,97,378,186.00,174.84,14
Uday Singh,uday_singh43@gmail.com,9718345043,OC,2006,92,96,100,100,388,190.00,174.80,15
Vedant Sharma,vedant_sharma58@gmail.com,9757215458,MBC,2005,90,93,91,93,367,182.00,174.72,16
Devika Gupta,devika_gupta64@gmail.com,9072922164,OC,2006,92,97,98,90,377,189.50,174.34,17
Aarush Gupta,aarush_gupta84@gmail.com,9539867984,ST,2004,89,80,89,90,348,173.50,173.50,18
Aanya Verma,aanya_verma69@gmail.com,9934477369,OC,2006,96,94,90,95,375,188.00,172.96,19
Akshara Shah,akshara_shah92@gmail.com,9324106092,OC,2004,93,94,96,99,382,188.00,172.96,20
Anvi Patel,anvi_patel30@gmail.com,9548015830,OC,2005,91,92,100,98,381,187.00,172.04,21
Nandini Patel,nandini_patel48@gmail.com,9978840748,SC,2005,90,86,80,84,340,173.00,169.54,22
Darshana Patel,darshana_patel94@gmail.com,9560172594,MBC,2004,87,90,87,86,350,175.50,168.48,23
Akhil Sharma,akhil_sharma10@gmail.com,9839292710,MBC,2006,90,89,81,85,345,175.00,168.00,24
Gayatri Gupta,gayatri_gupta59@gmail.com,9723979059,OC,2005,89,88,89,85,351,177.50,163.30,25
Rhea Patel,rhea_patel14@gmail.com,9753799214,SC,2005,81,83,85,82,331,165.00,161.70,26
Jai Kumar,jai_kumar85@gmail.com,9096923185,BC,2004,83,87,88,80,338,170.50,160.27,27
Aanya Patel,aanya_patel94@gmail.com,9415927594,OC,2004,88,83,89,87,347,174.00,160.08,28
Veda Sharma,veda_sharma18@gmail.com,9539920318,OC,2005,86,87,89,86,348,174.00,160.08,29
Esha Gupta,esha_gupta30@gmail.com,9999925730,BC,2005,85,82,81,86,334,166.50,156.51,30
Prisha Singh,prisha_singh53@gmail.com,9921778153,BC,2006,83,84,83,88,338,166.50,156.51,31
Eesha Patel,eesha_patel50@gmail.com,9133308450,BC,2005,82,89,80,84,335,166.50,156.51,32
Tarun Sharma,tarun_sharma33@gmail.com,9400288933,BC,2006,81,82,85,89,337,164.50,154.63,33
Rahul Singh,rahul_singh74@gmail.com,9181860674,OC,2006,81,90,83,85,339,167.50,154.10,34
Aman Patel,aman_patel32@gmail.com,9891722132,OC,2005,81,84,89,87,341,167.50,154.10,35
Ayaan Joshi,ayaan_joshi96@gmail.com,9317353096,OC,2005,86,82,80,85,333,167.00,153.64,36
Surya Sharma,surya_sharma81@gmail.com,9141719481,ST,2006,78,72,77,74,301,152.50,152.50,37
Yash Patel,yash_patel65@gmail.com,9082489565,BC,2005,80,77,74,78,309,155.50,146.17,38
Akash Kumar,akash_kumar13@gmail.com,9105603213,BC,2005,74,79,72,74,299,149.50,140.53,39
Pooja Patel,pooja_patel09@gmail.com,9655741509,MBC,2004,70,77,75,72,294,146.00,140.16,40
Nakul Sharma,nakul_sharma86@gmail.com,9990151786,BC,2006,76,72,74,72,294,149.00,140.06,41
Krish Mehra,krish_mehra19@gmail.com,9824977419,OC,2004,77,78,71,72,298,151.50,139.38,42
Mira Patel,mira_patel49@gmail.com,9731068249,OC,2004,73,78,79,72,302,151.50,139.38,43
Tanvi Patel,tanvi_patel95@gmail.com,9194422495,OC,2005,76,74,76,79,305,151.00,138.92,44
Urvashi Gupta,urvashi_gupta58@gmail.com,9420602958,BC,2005,72,76,75,74,297,147.50,138.65,45
Lakshay Singh,lakshay_singh71@gmail.com,9128852571,OC,2006,77,75,71,73,296,150.00,138.00,46
Mohit Sharma,mohit_sharma34@gmail.com,9632871034,OC,2005,76,70,77,79,302,149.50,137.54,47
Aniket Singh,aniket_singh87@gmail.com,9851086087,OC,2004,75,79,70,76,300,149.50,137.54,48
Bhavya Jain,bhavya_jain58@gmail.com,9781856258,OC,2006,74,77,74,71,296,149.50,137.54,49
Ananya Mishra,ananya_mishra55@gmail.com,9305756555,OC,2006,75,71,75,71,292,148.00,136.16,50
Aarohi Sing,aarohi_sing36@gmail.com,9072746336,OC,2006,74,71,77,70,292,148.00,136.16,51
Amrita Gupta,amrita_gupta82@gmail.com,9364845782,SC,2005,69,66,67,61,263,135.50,132.79,52
Shreya Gupta,shreya_gupta16@gmail.com,9979999716,OC,2006,70,70,70,79,289,140.00,128.80,53
Alisha Singh,alisha_singh10@gmail.com,9930720110,BC,2005,69,68,64,68,269,135.00,126.90,54
Lavanya Sharma,lavanya_sharma21@gmail.com,9078405321,MBC,2006,65,69,65,68,267,132.00,126.72,55
Siya Singh,siya_singh10@gmail.com,9787876510,OC,2005,70,68,67,62,267,137.50,126.50,56
Aishwarya Patel,aishwarya_patel36@gmail.com,9196934036,BC,2005,66,68,63,69,266,131.50,123.61,57
Sameer Singh,sameer_singh24@gmail.com,9569984624,MBC,2005,65,64,63,66,258,128.50,123.36,58
Kabir Patel,kabir_patel85@gmail.com,9347506185,OC,2006,64,70,68,68,270,133.00,122.36,59
Kriti Gupta,kriti_gupta67@gmail.com,9904532867,OC,2006,68,64,61,62,255,130.50,120.06,60
Advay Singh,advay_singh00@gmail.com,9390974100,OC,2004,63,65,67,64,259,129.00,118.68,61
Sahil Sharma,sahil_sharma53@gmail.com,9312298353,OC,2005,62,68,63,62,255,127.50,117.30,62
Vrinda Singh,vrinda_singh82@gmail.com,9396554882,OC,2005,60,62,69,67,258,125.50,115.46,63
Aditya Gupta,aditya_gupta42@gmail.com,9209661842,BC,2006,60,55,60,52,227,117.50,110.45,64
Avni Singh,avni_singh16@gmail.com,9187420216,BC,2004,56,60,59,55,230,115.50,108.57,65
Shaan Kapoor,shaan_kapoor91@gmail.com,9042148491,OC,2005,59,60,53,54,226,115.50,106.26,66
Aashi Choudhury,aashi_choudhury27@gmail.com,9915555327,BC,2005,58,53,57,57,225,113.00,106.22,67
Zara Gupta,zara_gupta08@gmail.com,9563923108,BC,2006,55,59,57,56,227,113.00,106.22,68
Pranav Gupta,pranav_gupta99@gmail.com,9170386299,OC,2005,59,56,54,54,223,114.00,104.88,69
Ishaan Verma,ishaan_verma82@gmail.com,9410338682,OC,2004,58,59,53,56,226,114.00,104.88,70
Zoya Singh,zoya_singh97@gmail.com,9121253597,OC,2006,60,52,55,56,223,113.50,104.42,71
Kavya Patel,kavya_patel84@gmail.com,9583000984,OC,2004,51,60,60,59,230,111.00,102.12,72
Bhuvan Singh,bhuvan_singh47@gmail.com,9895487647,OC,2006,56,53,56,57,222,110.50,101.66,73
Dhruv Mehta,dhruv_mehta13@gmail.com,9162970613,MBC,2004,51,57,50,54,212,104.50,100.32,74
Ria Gupta,ria_gupta37@gmail.com,9251743337,MBC,2006,51,53,52,53,209,103.50,99.36,75
Meera Kumar,meera_kumar77@gmail.com,9358417777,BC,2005,51,57,52,60,220,105.50,99.17,76
Niharika Singh,niharika_singh82@gmail.com,9186314082,OC,2005,51,53,54,57,215,104.50,96.14,77
Vihaan Gupta,vihaan_gupta27@gmail.com,9034630227,BC,2005,49,47,50,41,187,97.50,91.65,78
Tanisha Patel,tanisha_patel17@gmail.com,9379865517,ST,2005,42,49,45,50,186,89.00,89.00,79
Aarav Reddy,aarav_reddy24@gmail.com,9201469924,BC,2005,47,44,50,50,191,94.00,88.36,80
Omkar Patel,omkar_patel09@gmail.com,9416999009,SC,2005,44,42,48,43,177,89.00,87.22,81
Saanvi Patel,saanvi_patel78@gmail.com,9880747778,OC,2006,48,45,47,49,189,94.00,86.48,82
Ila Patel,ila_patel12@gmail.com,9822188912,BC,2004,45,40,49,44,178,89.50,84.13,83
Shivam Patel,shivam_patel33@gmail.com,9907119533,BC,2004,41,47,49,50,187,89.00,83.66,84
Aarohi Desai,aarohi_desai03@gmail.com,9360817103,OC,2006,45,43,45,50,183,89.00,81.88,85
Ishaan Sharma,ishaan_sharma54@gmail.com,9485348554,OC,2004,42,50,43,48,183,88.50,81.42,86
Sanaya Patel,sanaya_patel11@gmail.com,9620374411,OC,2004,45,43,42,42,172,87.50,80.50,87
Aarav Sharma,aarav_sharma38@gmail.com,9301761938,OC,2004,45,41,44,48,178,87.50,80.50,88
Gopal Singh,gopal_singh69@gmail.com,9762621669,OC,2004,43,48,41,45,177,87.50,80.50,89
Shikha Gupta,shikha_gupta43@gmail.com,9779335443,ST,2004,40,40,35,38,153,77.50,77.50,90
Sneha Singh,sneha_singh67@gmail.com,9538343567,ST,2004,36,37,39,39,151,74.00,74.00,91
Jaya Singh,jaya_singh81@gmail.com,9024206981,MBC,2004,39,37,37,35,148,76.00,72.96,92
Aarav Khanna,aarav_khanna76@gmail.com,9649858876,MBC,2004,38,36,38,37,149,75.00,72.00,93
Chetan Shah,chetan_shah49@gmail.com,9855431949,MBC,2006,35,39,38,35,147,73.50,70.56,94
Rudra Sharma,rudra_sharma82@gmail.com,9812573582,OC,2004,39,39,36,35,149,76.50,70.38,95
Gaurav Sharma,gaurav_sharma31@gmail.com,9007585031,OC,2005,40,36,36,36,148,76.00,69.92,96
Ishita Singh,ishita_singh28@gmail.com,9854577428,OC,2004,40,35,35,36,146,75.00,69.00,97
Advika Singh,advika_singh25@gmail.com,9757415425,OC,2004,35,38,40,39,152,74.00,68.08,98
Om Patel,om_patel17@gmail.com,9315870417,OC,2005,36,36,37,39,148,72.50,66.70,99
Rohan Kumar,rohan_kumar93@gmail.com,9926431493,OC,2004,36,35,38,40,149,72.50,66.70,100
